color,growth, region, subregion, chateau, lat., long.,growth_rank,second_wine, third wine, others
red,fifth,medoc,pauillac,haut-batailley,,,5,,
red,fifth,medoc,pauillac,puy-lacoste,,,5,,
red,fifth,medoc,pauillac,grand-puy-ducasse,,,5,,
red,fifth,medoc,pauillac,lynch-bages,,,5,,
red,fifth,medoc,pauillac,lynch-moussas,,,5,,
red,fifth,medoc,labarde,dauzac,,,5,,
red,fifth,medoc,pauillac,d'armailhac,,,5,,
red,fifth,medoc,arsac,du tertre,,,5,,
red,fifth,medoc,pauillac,haut-bages-libéral,,,5,,
red,fifth,medoc,pauillac,pédesclaux,,,5,,
red,fifth,medoc,st-laurent,belgrave,,,5,,
red,fifth,medoc,st-laurent,camensac,,,5,,
red,fifth,medoc,st-estéphe,cos labory,,,5,,
red,fifth,medoc,pauillac,clerc-milon,,,5,,
red,fifth,medoc,pauillac,croizet bages,,,5,,
red,fifth,medoc,macau,cantemerle,,,5,,
